"Release_Number","Localized_Title_EN","System","Publisher","Country","Language","Genre","Release_Date","Dump_Group","Dump_Directory_Name","Dump_File_Name","Dump_Date","Internal_Title","Internal_Serial","Internal_Version","Complement_Check","CRC32","ROM_Size","Save_Type","Comments","Release_Notes"
"1336","Tetris Advance","GameBoy Advance","Activision","Japan","Japanese","Puzzle","","Rising Sun","","rs-teta.zip","2003-12-19","MSSTETRISADV","AGB-BTTJ-JPN","1.0","EEh","67C92883h","32 Mbit","EEPROM_V124 (4Kbit)","",""
"1337","Ochaken No Heya","GameBoy Advance","M²TO","Japan","Japanese","","","Rising Sun","","rs-onh.zip","2003-12-20","OCHAKEN","AGB-BDRJ-JPN","1.0","A8h","C22CE53Eh","64 Mbit","EEPROM_V124 (4Kbit)","",""
"1338","Need For Speed - Underground","GameBoy Advance","Electronic Arts","USA","Multi 4","","","Mode7","","m7-nfsu.zip","2003-12-20","NFSUG","AGB-BNSE-USA","1.0","37h","05F55502h","64 Mbit","EEPROM_V124 (4Kbit)","",""
"1339","Silvanian Family Yousei no Stick to Fushigi no Marroine no Onnanoko","GameBoy Advance","Epoch","Japan","Japanese","","","Rising Sun","","rs-sfyn.zip","2003-12-21","SYLVANIA5","AGB-BS5J-JPN","1.0","27h","326B320Fh","64 Mbit","EEPROM_V122 (64Kbit)","",""
"1340","Simple 2960 Vol. 4 - The Trump","GameBoy Advance","D3","Japan","Japanese","","","Rising Sun","","rs-s4tt.zip","2003-12-21","04:TP@2960","AGB-BS4J-JPN","1.0","2Bh","F949585Eh","32 Mbit","EEPROM_V124 (4Kbit)","",""
"1341","WanWan Meitantei","GameBoy Advance","Culture Brain","Japan","Japanese","","","Rising Sun","","rs-wwm.zip","2003-12-21","WAN TANTEI","AGB-BWMJ-JPN","1.0","D3h","BD3AE9D7h","64 Mbit","EEPROM_V124 (4Kbit)","",""
"1342","Ashita No Joe","GameBoy Advance","Konami","Japan","Japanese","","","Rising Sun","","rs-joet.zip","2003-12-28","JOERED","AGB-BAMJ-JPN","1.0","09h","69CDE456h","128 Mbit","SRAM_V113 (256Kbit)","",""
"1343","Sim City 2000","GameBoy Advance","Destination Software","USA","English","Simulation","","GBANow","","gbn-sc2k.zip","2003-12-29","SIMCITY 2000","AGB-A5CE-USA","1.0","EDh","733751B3h","32 Mbit","EEPROM_V124 (64Kbit)","",""
"1344","Lego Racers 2","GameBoy Advance","LEGO Media","Europe","Multi 8","Simulation","","Independent","","rx-lr2.zip","2003-12-30","LEGO RACERS","AGB-ALRP-EUR","1.0","95h","7A1DC458h","64 Mbit","EEPROM_V120 (4Kbit)","",""
"1345","Altered Beast - Guardian of the Realms","GameBoy Advance","Sega","Europe","Multi 5","Action","","TrashMan","","trm-ab.zip","2003-12-30","ALTERED BEAS","AGB-AARP-EUR","1.0","69h","654F7916h","64 Mbit","EEPROM_V122 (4Kbit)","",""
"1346","Tekken Advance","GameBoy Advance","Infogrames","Europe","English","","","Independent","","rx-ta.zip","2004-01-01","TEKKEN ADVAN","AGB-ATKP-EUR","1.0","6Eh","B62A2255h","128 Mbit","EEPROM_V122 (4Kbit)","",""
"1347","Minna No Ojisama","GameBoy Advance","Konami","Japan","Japanese","","","Rising Sun","","rs-mno.zip","2004-01-02","KCEJ MINPRI","AGB-BMOJ-JPN","1.0","A8h","19DC05E6h","256 Mbit","SRAM_F_V103 (256Kbit)","","First 256Mbit Game"
"1348","Gekido Advance - Kintaros Revenge","GameBoy Advance","Destination Software","USA","English","","","Ongaku","","o-gkdusa.zip","2004-01-02","GEKIDO","AGB-AGEE-USA","1.0","2Ah","6BBC5F4Dh","64 Mbit","No Save","",""
"1349","ESPN International - Winter Sports","GameBoy Advance","Konami","Europe","English","","","TrashMan","","trm-eiws.zip","2004-01-05","WINTERSPORTS","AGB-AWIP-EUR","1.0","E7h","A56AFBB7h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"1350","Godzilla Domination","GameBoy Advance","Infogrames","Japan","Japanese","Fighting","","Independent","","ga-godzilla.zip","2004-01-06","GODZILLA KDA","AGB-AG4J-JPN","1.0","9Eh","3157A4FCh","32 Mbit","No Save","",""
"1351","Sonic Battle","GameBoy Advance","THQ","USA","Multi 6","","","Rising Sun","","rs-sbu.zip","2004-01-07","SONICBATTLE","AGB-BSBE-USA","1.0","8Eh","9EC9D86Fh","128 Mbit","FLASH512_V131 (512Kbit)","",""
